2026-03-17 16:32:40 | INFO     | extraction_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Generated 2 chunks
2026-03-17 16:32:40 | INFO     | extraction_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Extraction complete ✓
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] [50%] Extracted 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] [65%] Generating embeddings and building vector index ...
2026-03-17 16:32:40 | INFO     | rag_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Building FAISS index for 'Student_Performance_Project_Report.pdf' (2 chunks)
2026-03-17 16:32:40 | INFO     | rag_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Generating embeddings ...
2026-03-17 16:32:40 | INFO     | embedding_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Embedding 2 chunks (batch_size=64)
2026-03-17 16:32:40 | INFO     | embedding_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Embeddings generated ✓ — shape=(2, 384), dtype=float32
2026-03-17 16:32:40 | INFO     | rag_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] FAISS index built — 2 vectors, dim=384
2026-03-17 16:32:40 | INFO     | rag_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Index persisted → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore\98679dc1-cb71-4e2d-acb4-fbce75a190d3
2026-03-17 16:32:40 | INFO     | rag_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] FAISS index ready ✓
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] [100%] Document ready for chat ✓
2026-03-17 16:32:40 | INFO     | analysis_service:195 | [98679dc1-cb71-4e2d-acb4-fbce75a190d3] Pipeline complete — 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:41 | INFO     | pdf_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Saved 'Student_Performance_Project_Report.pdf' → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads\14dfbf4f-de65-41e8-a60f-e3251daa9a25_Student_Performance_Project_Report.pdf (466,371 bytes)
2026-03-17 16:32:41 | INFO     | pdf_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Document state created — status=uploaded
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] [5%] Loading document ...
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] [20%] Extracting text and detecting sections ...
